Season,No. Overall,No. In season,Title,Directed by,Written by,Original air date,U.S. viewers (millions)
7,105,13,"""Inevitable""",Christopher Misiano,Genevieve Sparling,"April 11, 2018",0.95
7,106,14,"""Pulling the Goalie""",Emile Levisetti,Aaron Korsh & Sharyn Rothstein,"April 18, 2018",0.99
7,107,15,"""Tiny Violin""",Christopher Misiano,Aaron Korsh & Daniel Arkin,"April 25, 2018",1.09
7,108,16,"""Good-Bye""",Anton L. Cropper,Aaron Korsh & Daniel Arkin,"April 25, 2018",1.07
8,109,1,"""Right-Hand Man""",Christopher Misiano,Aaron Korsh,"July 18, 2018",1.27
8,110,2,"""Pecking Order""",Michael Smith,Genevieve Sparling,"July 25, 2018",1.18
8,111,3,"""Promises, Promises""",Roger Kumble,Rob LaMorgese & Marshall Knight,"August 1, 2018",1.16
8,112,4,"""Revenue Per Square Foot""",Michael Smith,Ethan Drogin,"August 8, 2018",1.09
8,113,5,"""Good Mudding""",Valerie Weiss,Sharyn Rothstein,"August 15, 2018",1.15
8,114,6,"""Cats, Ballet, Harvey Specter""",Emile Levisetti,Garrett Schabb,"August 22, 2018",1.22
8,115,7,"""Sour Grapes""",Gabriel Macht,Ian Deitchman & Kristin Robinson,"August 29, 2018",1.13
8,116,8,"""Coral Gables""",Christopher Misiano,Marshall Knight & Rob LaMorgese,"September 5, 2018",1.3
8,117,9,"""Motion to Delay""",Christopher Misiano,Aaron Korsh & Genevieve Sparling,"September 12, 2018",1.07
8,118,10,"""Managing Partner""",Silver Tree,Aaron Korsh & Ethan Drogin,"September 19, 2018",1.08
8,119,11,"""Rocky 8""",Roger Kumble,Michael L. Kramer,"January 23, 2019",0.82
8,120,12,"""Whale Hunt""",Valerie Weiss,Ian Deitchman & Kristin Robinson,"January 30, 2019",0.91
8,121,13,"""The Greater Good""",Darren Grant,Garrett Schabb,"February 6, 2019",0.77
8,122,14,"""Peas in a Pod""",Christopher Misiano,Sharyn Rothstein & Jordan Pomaville,"February 13, 2019",0.78
8,123,15,"""Stalking Horse""",Chloe Domont,Ethan Drogin & Genevieve Sparling,"February 20, 2019",0.69
